group,paradigm,baseline,sambal
ANAPHOR AGREEMENT,anaphor_gender_agreement,89.7,94.1
ANAPHOR AGREEMENT,anaphor_number_agreement,94.9,96.6
ARGUMENT STRUCTURE,animate_subject_passive,78.6,77.2
ARGUMENT STRUCTURE,animate_subject_trans,87.3,88.8
ARGUMENT STRUCTURE,causative,70.1,50.7
ARGUMENT STRUCTURE,drop_argument,67.5,71.4
ARGUMENT STRUCTURE,inchoative,68.4,58.1
ARGUMENT STRUCTURE,intransitive,73.6,72.6
ARGUMENT STRUCTURE,passive_1,88.5,81.4
ARGUMENT STRUCTURE,passive_2,88.1,86.7
ARGUMENT STRUCTURE,transitive,82.4,64.8
BINDING,principle_A_c_command,46.7,57.6
BINDING,principle_A_case_1,99.9,99.7
BINDING,principle_A_case_2,96.2,88.0
BINDING,principle_A_domain_1,84.4,91.1
BINDING,principle_A_domain_2,59.8,58.9
BINDING,principle_A_domain_3,55.9,59.4
BINDING,principle_A_reconstruction,22.5,37.9
CONTROL/RAISING,existential_there_object_raising,81.3,63.7
CONTROL/RAISING,existential_there_subject_raising,85.9,78.0
CONTROL/RAISING,expletive_it_object_raising,66.9,59.6
CONTROL/RAISING,tough_vs_raising_1,74.4,66.2
CONTROL/RAISING,tough_vs_raising_2,78.0,81.4
DETERMINER-NOUN AGR.,determiner_noun_agreement_1,98.7,97.0
DETERMINER-NOUN AGR.,determiner_noun_agreement_2,99.1,98.0
DETERMINER-NOUN AGR.,determiner_noun_agreement_irregular_1,89.1,89.7
DETERMINER-NOUN AGR.,determiner_noun_agreement_irregular_2,97.0,93.7
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adjective_1,96.7,94.6
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adj_2,97.2,95.1
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adj_irregular_1,84.5,90.7
DETERMINER-NOUN AGR.,determiner_noun_agreement_with_adj_irregular_2,95.3,91.7
ELLIPSIS,ellipsis_n_bar_1,76.6,76.9
ELLIPSIS,ellipsis_n_bar_2,96.3,74.1
FILLER-GAP,wh_questions_object_gap,70.9,74.4
FILLER-GAP,wh_questions_subject_gap,83.5,81.5
FILLER-GAP,wh_questions_subject_gap_long_distance,79.7,73.0
FILLER-GAP,wh_vs_that_no_gap,89.2,87.2
FILLER-GAP,wh_vs_that_no_gap_long_distance,94.1,93.8
FILLER-GAP,wh_vs_that_with_gap,89.2,93.2
FILLER-GAP,wh_vs_that_with_gap_long_distance,67.2,61.4
IRREGULAR FORMS,irregular_past_participle_adjectives,96.7,99.4
IRREGULAR FORMS,irregular_past_participle_verbs,88.2,85.7
ISLAND EFFECTS,adjunct_island,80.8,91.3
ISLAND EFFECTS,complex_NP_island,41.0,54.4
ISLAND EFFECTS,coordinate_structure_constraint_complex_left_branch,76.2,94.6
ISLAND EFFECTS,coordinate_structure_constraint_object_extraction,92.9,93.1
ISLAND EFFECTS,left_branch_island_echo_question,21.9,20.2
ISLAND EFFECTS,left_branch_island_simple_question,91.2,97.5
ISLAND EFFECTS,sentential_subject_island,37.3,50.1
ISLAND EFFECTS,wh_island,75.0,90.1
NPI LICENSING,matrix_question_npi_licensor_present,86.7,84.1
NPI LICENSING,npi_present_1,52.5,86.4
NPI LICENSING,npi_present_2,60.4,65.3
NPI LICENSING,only_npi_licensor_present,95.3,99.0
NPI LICENSING,only_npi_scope,85.5,82.6
NPI LICENSING,sentential_negation_npi_licensor_present,98.4,94.8
NPI LICENSING,sentential_negation_npi_scope,78.5,59.4
QUANTIFIERS,existential_there_quantifiers_1,98.0,98.1
QUANTIFIERS,existential_there_quantifiers_2,26.2,14.3
QUANTIFIERS,superlative_quantifiers_1,57.7,100.0
QUANTIFIERS,superlative_quantifiers_2,79.4,78.4
SUBJECT-VERB AGR.,distractor_agreement_relational_noun,92.6,88.5
SUBJECT-VERB AGR.,distractor_agreement_relative_clause,82.6,85.3
SUBJECT-VERB AGR.,irregular_plural_subject_verb_agreement_1,94.4,87.2
SUBJECT-VERB AGR.,irregular_plural_subject_verb_agreement_2,91.8,87.1
SUBJECT-VERB AGR.,regular_plural_subject_verb_agreement_1,91.3,84.9
SUBJECT-VERB AGR.,regular_plural_subject_verb_agreement_2,91.3,93.8
